n,bt_steps,fc_steps,bt_time,fc_time
4,9,9,0.00034356117248535156,0.0011069774627685547
8,114,76,0.016498804092407227,0.047713279724121094
10,103,36,0.0218808650970459,0.04360604286193848
12,262,154,0.10066485404968262,0.3235793113708496
15,1360,35,0.9408121109008789,0.18242144584655762
