iterations,time
2,0.025078773498535156,True
2,0.018748998641967773,True
2,0.02612471580505371,True
2,0.022022485733032227,True
2,0.01897740364074707,True
2,0.019562959671020508,True
2,0.01819467544555664,True
2,0.018620967864990234,True
2,0.016794681549072266,True
2,0.01734161376953125,True
2,0.017530202865600586,True
2,0.016861677169799805,True
2,0.016050100326538086,True
2,0.01580333709716797,True
2,0.01736307144165039,True
2,0.01506185531616211,True
2,0.015120267868041992,True
2,0.015990257263183594,True
2,0.01501011848449707,True
2,0.015214920043945312,True
2,0.015291929244995117,True
2,0.017299652099609375,True
2,0.015114545822143555,True
2,0.01640176773071289,True
2,0.0147552490234375,True
2,0.015955686569213867,True
2,0.01579737663269043,True
2,0.016193151473999023,True
2,0.015821456909179688,True
2,0.015157222747802734,True
