iterations,time
104,0.006228446960449219,True
11,0.0006570816040039062,True
111,0.007241249084472656,True
38,0.005352020263671875,True
48,0.005787372589111328,True
24,0.0015265941619873047,True
119,0.011518716812133789,True
44,0.003055095672607422,True
12,0.000789642333984375,True
9,0.0006041526794433594,True
32,0.002419710159301758,True
87,0.006408214569091797,True
13,0.0009255409240722656,True
121,0.01547551155090332,True
69,0.008428096771240234,True
13,0.0009343624114990234,True
25,0.0017123222351074219,True
68,0.004808902740478516,True
50,0.003519773483276367,True
35,0.0024597644805908203,True
5,0.0003533363342285156,True
17,0.0011816024780273438,True
19,0.0013921260833740234,True
3,0.00019073486328125,True
18,0.0012187957763671875,True
62,0.004258632659912109,True
4,0.00029349327087402344,True
51,0.003957509994506836,True
49,0.0032858848571777344,True
24,0.0014972686767578125,True
