iterations,time,solved
1000,0.08494997024536133,False
128,0.010681629180908203,True
1000,0.09071516990661621,False
390,0.03751850128173828,True
797,0.07298898696899414,True
226,0.019401073455810547,True
1000,0.08798766136169434,False
511,0.04888176918029785,True
759,0.06584453582763672,True
567,0.0471796989440918,True
539,0.045371294021606445,True
746,0.06187844276428223,True
212,0.01757049560546875,True
150,0.012489557266235352,True
633,0.052280426025390625,True
357,0.029528379440307617,True
268,0.024586915969848633,True
1000,0.08496999740600586,False
930,0.08722329139709473,True
327,0.030113697052001953,True
96,0.008692264556884766,True
214,0.01792144775390625,True
316,0.026643991470336914,True
256,0.021416664123535156,True
471,0.03893232345581055,True
308,0.04506278038024902,True
474,0.05748701095581055,True
55,0.006540775299072266,True
899,0.12103104591369629,True
614,0.06389856338500977,True
