iterations,time
80,1.943312406539917,True
48,1.029320240020752,True
38,0.8526401519775391,True
34,0.6908042430877686,True
25,0.4872281551361084,True
32,0.6130895614624023,True
22,0.41762638092041016,True
2,0.03695178031921387,True
30,0.569608211517334,True
68,1.2766175270080566,True
20,0.3760497570037842,True
21,0.3948354721069336,True
2,0.03580904006958008,True
31,0.5781466960906982,True
53,0.999239444732666,True
53,0.9992697238922119,True
46,0.8601822853088379,True
60,1.1236300468444824,True
2,0.0354762077331543,True
2,0.035382747650146484,True
33,0.6482894420623779,True
69,1.278028964996338,True
19,0.36428308486938477,True
102,1.9241085052490234,True
76,1.41420316696167,True
47,0.8642346858978271,True
2,0.13465166091918945,True
2,0.10080313682556152,True
43,0.9816138744354248,True
59,1.108330249786377,True
