iterations,time
3,0.011522769927978516,False
3,0.010529756546020508,False
3,0.0105438232421875,False
3,0.010299444198608398,False
3,0.010383129119873047,False
3,0.010305404663085938,False
3,0.010417461395263672,False
3,0.012779712677001953,False
3,0.011550664901733398,False
3,0.01112508773803711,False
3,0.011434555053710938,False
3,0.011050939559936523,False
3,0.010829687118530273,False
3,0.010503768920898438,False
3,0.010299444198608398,False
3,0.01029348373413086,False
3,0.010301828384399414,False
3,0.01037740707397461,False
3,0.010298728942871094,False
3,0.010303258895874023,False
3,0.010306596755981445,False
3,0.013300657272338867,False
3,0.012233495712280273,False
3,0.012461185455322266,False
3,0.011441469192504883,False
3,0.011400699615478516,False
3,0.011258125305175781,False
3,0.011114120483398438,False
3,0.011116266250610352,False
3,0.011625289916992188,False
