iterations,time,solved
5,0.04111933708190918,False
5,0.042040109634399414,False
5,0.04642438888549805,False
5,0.04268336296081543,False
5,0.04079794883728027,False
5,0.0417172908782959,False
5,0.043879032135009766,False
5,0.043605804443359375,False
5,0.04696989059448242,False
5,0.04430532455444336,False
5,0.04145693778991699,False
5,0.04104208946228027,False
5,0.04088997840881348,False
5,0.04086661338806152,False
5,0.04100346565246582,False
5,0.04086589813232422,False
5,0.04105973243713379,False
5,0.042705535888671875,False
5,0.04264211654663086,False
5,0.041030168533325195,False
5,0.04728269577026367,False
5,0.04304671287536621,False
5,0.041088104248046875,False
5,0.04131293296813965,False
5,0.041100502014160156,False
5,0.04612445831298828,False
5,0.05785202980041504,False
5,0.06195807456970215,False
5,0.06623625755310059,False
5,0.04860067367553711,False
