iterations,time,solved
105,2.730733633041382,True
105,2.495572805404663,True
95,2.330597400665283,True
168,3.7372636795043945,True
155,3.491382360458374,True
44,1.0349361896514893,True
211,4.6555845737457275,True
90,1.968001365661621,True
69,1.4961941242218018,True
44,0.9791426658630371,True
187,4.1435370445251465,True
160,3.4706509113311768,True
112,2.419793128967285,True
192,4.211576223373413,True
149,3.284181833267212,True
117,2.545725107192993,True
70,1.530790090560913,True
157,3.3912270069122314,True
112,2.437826156616211,True
53,1.1626477241516113,True
44,0.9551799297332764,True
33,0.7430417537689209,True
145,3.1808879375457764,True
26,0.5617084503173828,True
47,1.0246281623840332,True
115,2.5071334838867188,True
25,0.5462534427642822,True
84,1.8353664875030518,True
152,3.32584810256958,True
88,1.9208085536956787,True
